speaker_name,sex,city_birth,state_birth,country_birth
Claudiney Ferreira,M,Rio de Janeiro,RJ,Brasil
Jorge Vasconcellos,M,Rio de Janeiro,RJ,Brasil
Agustina Bessa Luís,F,Vila Meã,-,Portugal
Alba Zaluar,F,Rio de Janeiro,RJ,Brasil
Alberto de Carvalho,M,Porto,-,Portugal
Alcir Lenharo,M,-,-,-
Alex Ribeiro,M,-,-,-
Alfredo Weiszflog,M,São Paulo,SP,Brasil
Altair Ferreira Brasil,M,-,-,-
Amélia Colin,F,-,-,-
Amir Labaki,M,São Paulo,SP,Brasil
Ana Cardilho,F,-,-,-
Ana Maria Alfonso Goldfarb,F,-,-,-
Ana Maria Machado,F,Rio de Janeiro,RJ,Brasil
Anatoli Stornosky,M,-,-,-
Angela Abreu,F,-,-,-
Antonio Alçada Baptista,M,Covilhã,-,Portugal
Antonio Carlos Seidl,M,Rio de Janeiro,RJ,Brasil
Antonio Luiz Mendes de Almeida,M,-,-,-
Antonio Pedro Tota,M,Piracicaba,SP,Brasil
Antônio Risério,M,Salvador,BA,Brasil
Antonio Salgado Peres Filho,M,-,-,-
Armando Antongini Filho,M,-,-,-
Berta Waldman,F,-,-,-
Betânia Laterza,F,Ituiutaba,MG,Brasil
Bolivar Lamorier,M,Dores do Indaiá,MG,Brasil
Boris Fausto,M,São Paulo,SP,Brasil
Breno Altman,M,São Paulo,SP,Brasil
Calazans Fernandes,M,Rio de Janeiro,RJ,Brasil
Camões Filho,M,Taubaté,SP,Brasil
Carlos Drummond,M,Itabira,MG,Brasil
Carlos Heitor Cony,M,Rio de Janeiro,RJ,Brasil
Carmo Chagas,M,São Paulo,SP,Brasil
Celso Lafer,M,São Paulo,SP,Brasil
Chico Buarque de Holanda,M,Catete,RJ,Brasil
Chico Witaker,M,São Paulo,SP,Brasil
Claudia Furiati,F,Rio de Janeiro,RJ,Brasil
Cláudio Cohen,M,Roma,-,Itália
Cláudio Csillag,M,-,-,-
Cristovam Buarque,M,,,
Danilo Angrimani,M,São Paulo,SP,Brasil
Décio Pignatari,M,Jundiaí,SP,Brasil
Edson Passetti,M,São Paulo,SP,Brasil
Eduardo Giannetti da Fonseca,M,Belo Horizonte,MG,Brasil
Eduardo Guimarães,M,Prata,MG,Brasil
Edvaldo Pereira Lima,M,-,-,-
Eleanor Beaty,F,-,-,-
Elizabeth Serra,F,Rio de Janeiro,RJ,Brasil
Ellen Spilmann Angel Gojatseinj,F,,,
Elvis Cesar Bonassa,M,-,-,-
Enio Silveira,M,São Paulo,SP,Brasil
Eugênio Bucci,M,Orlândia,SP,Brasil
Eva Blay,F,São Paulo,SP,Brasil
Fábio Lucas,M,Esmeraldas,MG,Brasil
Felipe Lindoso,M,São Paulo,SP,Brasil
Fernando Bonassi,M,Mooca,SP,Brasil
Fernando Henrique Cardoso,M,Rio de Janeiro,RJ,Brasil
Fernando Morais,M,Mariana,MG,Brasil
Fernando Peixoto,M,Porto Alegre,RS,Brasil
Fernando Rodrigues,M,São João da Boa Vista,SP,Brasil
Fernando Sabino,M,Belo Horizonte,BH,Brasil
Fernando Weltmann,M,Rio de Janeiro,RJ,Brasil
Flávia Cesarino Costa,F,-,-,-
Flora Fernandes Motioli,F,-,-,-
Francisco Antonio Dória,M,Rio de Janeiro,RJ,Brasil
Francisco Costa,M,Araraquara,SP,Brasil
Francisco José Viegas,M,Vila Nova de Foz Côa,-,Portugal
Frederico Barbosa,M,Recife,PE,Brasil
Gilberto Dimenstein,M,São Paulo,SP,Brasil
Gilberto Gil,M,Salvador,BA,Brasil
Gilda Portugal Gouvea,F,São Paulo,SP,Brasil
Gofredo da Silva Telles Jr,M,São Paulo,SP,Brasil
Gustavo Krieger,M,Porto Alegre,RS,Brasil
Hans-Peter Martin,M,Bregenz,-,Áustria
Haroldo de Campos,M,São Paulo,SP,Brasil
Heitor Paixão,M,-,-,-
Helena Salem,F,Rio de Janeiro,RJ,Brasil
Hélio Bicudo,M,Mogi das cruzes,SP,Brasil
Heloisa Dupas Penteado,F,Pirassununga,SP,Brasil
Heloísa Matos,F,-,-,-
Igor Fuser,M,-,-,-
Inácio Araujo,M,São Paulo,SP,Brasil
Irede Cardoso,F,-,-,-
Isaac Epstein,M,-,-,-
Ivan Ângelo,M,Barbacena,MG,Brasil
Ivana Jinkings,F,Belém,PA,Brasil
Jacques Lenhardt,M,Genebra,-,Suíça
Jaime Pinski,M,Sorocaba,SP,Brasil
Jales Marinho,M,-,-,-
João Bosco Serra e Gurgel,M,Fortaleza,CE,Brasil
João Carlos Kanaan,M,-,-,-
Joaquim Brasil Fontes,M,Formiga,MG,Brasil
Joel Rufino dos Santos,M,Rio de Janeiro,RJ,Brasil
John Schulz,M,-,-,EUA
Jorge Aguiar,M,-,-,-
Jorge Ferreira,M,Rio de Janeiro,RJ,Brasil
Jorge Mattoso,M,-,SP,Brasil
Jorge Mautner,M,Rio de janeiro,RJ,Brasil
Jorge Zaverucha,M,-,-,-
José Álvaro Moisés,M,Campinas,SP,Brasil
José Arbex Junior,M,Marília,SP,Brasil
José Duarte,M,Sobral,-,Portugal
José Mindlin,M,São Paulo,SP,Brasil
Josué Montello,M,São Luís,MA,Brasil
Juva Batella,F,-,-,-
Keila Grinberg,F,Rio de Janeiro,RJ,Brasil
Lea Penteado,F,-,MG,Brasil
Leão Serva,M,São Paulo,SP,Brasil
Leilah Assunção,F,Botucatu,SP,Brasil
Lidia Goldenstein,F,São Paulo,SP,Brasil
Liza Rios Ricci Volpato,F,-,-,-
Lúcia Nagib,F,São Paulo,SP,Brasil
Lúcio Kowarick,M,São Paulo,SP,Brasil
Luiz Carlos Bresser Pereira,M,São Paulo,SP,Brasil
Luiz Lorenzon,M,-,-,-
Luiz Maklouf Carvalho,M,Belém,PA,Brasil
Luiz Momesso,M,-,-,-
Luiz Renato Martins,M,-,-,-
Luiz Roncari,M,Jaú,SP,Brasil
Luiz Silva,M,-,-,-
Lygia Fagundes Telles,M,Caiobi,SP,Brasil
Márcia de Paula Leite,F,São Paulo,,Brasil
Márcio Souza,M,Manaus,AM,Brasil
Marco Antonio Coelho,M,Belo Horizonte,MG,Brasil
Marco Antonio Villa,M,São José do Rio Preto,SP,Brasil
Margaret Keck,F,-,-,EUA
Maria Alice Barroso,F,Miracema,RJ,Brasil
Maria Clara Machado,F,Rio de Janeiro,RJ,Brasil
Maria Cristina Jorge,F,-,-,-
Maria Helena Brandão Vilela Gherpelli,F,-,-,-
Maria Helena Chauí,F,Pindorama,SP,Brasil
Maria Luíza Dias,F,São Paulo,SP,Brasil
Marilene Felinto,F,Recife,PE,Brasil
Marino Lobello,M,São Paulo,SP,Brasil
Mario Chamie,M,-,-,-
Mário Fittipaldi,M,Rio Claro,SP,Brasil
Mario Lago,M,Rio de Janeiro,RJ,Brasil
Mariza Lajolo,F,São Paulo,SP,Brasil
Marlise Meyer,F,São Paulo,SP,Brasil
Marta Suplicy,F,São Paulo,SP,Brasil
Mary del Priore,F,Rio de Janeiro,RJ,Brasil
Michel Elmer,M,-,-,-
Milton Santos,M,Brotas de Macaúbas,BA,Brasil
Miriam Goldenberg,F,Santos,SP,Brasil
Moacir Scliar,M,Porto Alegre,RS,Brasil
Nelly Novaes Coelho,F,São Paulo,SP,Brasil
Nelson Mota,M,São Paulo,SP,Brasil
Ney Matogrosso,M,Bela Vista,MS,Brasil
Nuno Júdice,M,Mexilhoeira Grande,-,Portugal
Oliveiros Ferreira,M,São José do Rio Pardo,SP,Brasil
Orsileo Santana,F,-,-,-
Otávio Roth,M,São Paulo,SP,Brasil
Otto Kramper,M,-,-,-
Patrícia Melo,F,Assis,SP,Brasil
Paul Singer,M,-,-,-
Paulo Caruso,M,São Paulo,SP,Brasil
Paulo César de Souza Pichler,M,-,-,-
Paulo Condini,M,Passo Fundo,RS,Brasil
Paulo Freire,M,Recife,PE,Brasil
Paulo Nogueira Batista Júnior,M,Rio de Janeiro,RJ,Brasil
Paulo Sergio Pinheiro,M,Rio de Janeiro,RJ,Brasil
Piter Burke,M,Stanmore,-,Inglaterra
Regina Rheda,F,Santa Cruz do Rio Pardo,SP,Brasil
Reinaldo Montero,M,Cienfuegos,-,Cuba
Ricardo Antunes,M,São Paulo,SP,Brasil
Ricardo Viveiros,M,Rio de Janeiro,RJ,Brasil
Rita Lee,F,São Paulo,SP,Brasil
Rivaldo Chiném,M,Itariri,SP,Brasil
Roberto Batista Dias da Silva,M,-,-,-
Rodrigo Lacerda,M,Rio de Janeiro,RJ,Brasil
Roney Cytrynovicz,M,,,
Rubem Cesar Fernandes,M,Niterói,RJ,Brasil
Ruy Castro,M,Caratinga,MG,Brasil
Said Farhat,M,Rio Branco,AC,Brasil
Salete Magda de Oliveira,F,-,-,-
Sandra Fernandes de Oliveira,F,-,-,-
Sérgio Augusto,M,Rio de Janeiro,RJ,Brasil
Sérgio Miceli,M,Rio de Janeiro,RJ,Brasil
Sérgio SantAnna,M,Rio de Janeiro,RJ,Brasil
Sidney Rezende,M,Campo Grande,MS,Brasil
Silvia Pimentel,F,Belo Horizonte,MG,Brasil
Stengel Muganti,F,-,-,-
Tadeu Chiarelli,M,Ribeirão Preto,SP,Brasil
Tereza Lúcia Halliday,F,-,-,-
Trento Natali Filho,M,-,-,-
Vallandro Keating,M,Rio de Janeiro,RJ,Brasil
Vitorino de Souza,M,-,-,-
Vivian Lando,F,São Paulo,SP,Brasil
Wanderley Guilherme dos Santos,M,Rio de Janeiro,RJ,Brasil
William Waack,M,São Paulo,SP,Brasil